accX accY accZ gyroX gyroY gyroZ timestamp Activity
0.10055954 4.314483 4.7789726 0.0 0.0 0.0 15:24:32.501 LS
-1.0247496 5.7989335 10.202005 0.0 0.0 0.0 15:24:32.676 LS
-1.0247496 5.7989335 10.202005 -0.384266 0.20954266 0.1585507 15:24:32.756 LS
-1.0247496 5.7989335 10.202005 -0.14297423 0.060491543 0.31371045 15:24:32.777 LS
-1.0247496 5.7989335 10.202005 -0.361664 -0.65727514 0.5855455 15:24:32.795 LS
-1.0247496 5.7989335 10.202005 -0.90044713 -0.8771866 0.78163326 15:24:32.816 LS
-1.0247496 5.7989335 10.202005 -0.81798035 -0.46179825 0.74498135 15:24:32.836 LS
1.0654523 3.6895776 11.660118 -0.81798035 -0.46179825 0.74498135 15:24:32.857 LS
1.0654523 3.6895776 11.660118 -0.31951427 -0.17163725 0.8158417 15:24:32.858 LS
1.0654523 3.6895776 11.660118 -0.071503 -0.34023607 0.8219503 15:24:32.876 LS
1.0654523 3.6895776 11.660118 -0.10998751 -0.6627729 0.4309966 15:24:32.897 LS
1.0654523 3.6895776 11.660118 -0.25170824 -0.7354659 0.058368787 15:24:32.915 LS
1.0654523 3.6895776 11.660118 -0.20528248 -0.5540389 0.0950207 15:24:32.936 LS
1.0654523 3.6895776 11.660118 0.14474331 -0.2742626 0.32776034 15:24:32.956 LS
1.0654523 3.6895776 11.660118 0.467891 -0.11482678 0.44504648 15:24:32.977 LS
1.0654523 3.6895776 11.660118 0.5717381 -0.1447592 0.42244446 15:24:32.998 LS
1.0654523 3.6895776 11.660118 0.55524474 -0.31763405 0.41572493 15:24:33.017 LS
0.24900457 2.9665065 4.697567 0.55524474 -0.31763405 0.41572493 15:24:33.037 LS
0.24900457 2.9665065 4.697567 0.57845765 -0.5442651 0.37724045 15:24:33.038 LS
0.24900457 2.9665065 4.697567 0.499656 -0.65360993 0.31615394 15:24:33.055 LS
0.24900457 2.9665065 4.697567 0.3713743 -0.71347475 0.2972171 15:24:33.077 LS
0.24900457 2.9665065 4.697567 0.2895184 -0.83381516 0.32959294 15:24:33.098 LS
0.24900457 2.9665065 4.697567 0.18994732 -0.83259344 0.36257967 15:24:33.115 LS
0.24900457 2.9665065 4.697567 0.059222165 -0.58824736 0.374797 15:24:33.138 LS
0.24900457 2.9665065 4.697567 0.02134852 -0.15758735 0.39495555 15:24:33.156 LS
0.24900457 2.9665065 4.697567 -0.11915049 0.091645665 0.59837365 15:24:33.177 LS
0.24900457 2.9665065 4.697567 -0.38121167 0.17533422 0.9490103 15:24:33.198 LS
1.9130256 3.4357843 12.586702 -0.38121167 0.17533422 0.9490103 15:24:33.218 LS
1.9130256 3.4357843 12.586702 -0.64205116 0.38363925 1.0876768 15:24:33.219 LS
1.9130256 3.4357843 12.586702 -0.54614526 0.44839096 1.0357531 15:24:33.237 LS
1.9130256 3.4357843 12.586702 -0.14480682 0.7055653 0.79751575 15:24:33.260 LS
